,t,px,psi_px
27776,107.0,-13.4041,2.053e-15
41856,162.0,-13.4041,1.209e-13
15232,58.0,-13.4041,2.12e-16
36480,141.0,-13.4041,1.419e-14
8576,32.0,-13.4041,1.022e-16
42624,165.0,-13.4041,1.87e-13
34944,135.0,-13.4041,9.934e-15
3968,14.0,-13.4041,7.182e-17
7808,29.0,-13.4041,9.546e-17
16768,64.0,-13.4041,2.895e-16
26752,103.0,-13.4041,1.75e-15
24960,96.0,-13.4041,1.278e-15
21376,82.0,-13.4041,7.01e-16
50048,194.0,-13.4041,2.137e-11
43392,168.0,-13.4041,3.022e-13
4736,17.0,-13.4041,7.546e-17
35712,138.0,-13.4041,1.222e-14
16000,61.0,-13.4041,2.504e-16
23168,89.0,-13.4041,9.939e-16
9856,37.0,-13.4041,1.163e-16
1664,5.0,-13.4041,6.318e-17
47744,185.0,-13.4041,4.035e-12
8832,33.0,-13.4041,1.046e-16
24704,95.0,-13.4041,1.22e-15
29824,115.0,-13.4041,2.946e-15
42880,166.0,-13.4041,2.446e-13
10880,41.0,-13.4041,1.294e-16
40832,158.0,-13.4041,5.691e-14
15744,60.0,-13.4041,2.278e-16
6784,25.0,-13.4041,8.759e-17
9088,34.0,-13.4041,1.077e-16
21888,84.0,-13.4041,7.515e-16
640,1.0,-13.4041,6.018e-17
14464,55.0,-13.4041,1.914e-16
35968,139.0,-13.4041,1.277e-14
2944,10.0,-13.4041,6.761e-17
32640,126.0,-13.4041,5.445e-15
19072,73.0,-13.4041,4.165e-16
31104,120.0,-13.4041,3.979e-15
20608,79.0,-13.4041,5.871e-16
48768,189.0,-13.4041,8.605e-12
37248,144.0,-13.4041,1.637e-14
29312,113.0,-13.4041,2.753e-15
13440,51.0,-13.4041,1.765e-16
7296,27.0,-13.4041,9.123e-17
25216,97.0,-13.4041,1.35e-15
17536,67.0,-13.4041,3.36e-16
34176,132.0,-13.4041,7.694e-15
17280,66.0,-13.4041,3.205e-16
